pag_pk,pag_fecha_planificada,pag_importe_planificado,pag_fecha_real,pag_importe_real,pag_confirmar,mon_pk,mon_nombre
139,"2011-11-22 00:00:00",36356,"2011-11-22 00:00:00",36356,NULL,1,Pesos
140,"2011-12-13 00:00:00",72712,"2011-12-13 00:00:00",72712,NULL,1,Pesos
141,"2011-12-20 00:00:00",109068,"2011-12-20 00:00:00",109068,NULL,1,Pesos
142,"2012-10-01 00:00:00",145424,NULL,0,NULL,1,Pesos
143,"2011-11-22 00:00:00",36356,"2011-11-22 00:00:00",36356,NULL,1,Pesos
144,"2011-12-20 00:00:00",72712,"2011-12-20 00:00:00",72712,NULL,1,Pesos
145,"2011-12-21 00:00:00",109068,"2011-12-21 00:00:00",109068,NULL,1,Pesos
146,"2012-10-01 00:00:00",145424,NULL,0,NULL,1,Pesos
132,"2011-11-22 00:00:00",36356,"2011-11-22 00:00:00",36356,NULL,1,Pesos
133,"2011-12-13 00:00:00",72712,"2011-12-13 00:00:00",72712,NULL,1,Pesos
136,"2011-12-20 00:00:00",109068,"2011-12-20 00:00:00",109068,NULL,1,Pesos
137,"2012-10-15 00:00:00",145424,NULL,0,NULL,1,Pesos
131,"2011-11-22 00:00:00",36356,"2011-11-22 00:00:00",36356,NULL,1,Pesos
134,"2011-12-20 00:00:00",72712,"2011-12-20 00:00:00",72712,NULL,1,Pesos
135,"2011-12-21 00:00:00",109068,"2011-12-21 00:00:00",109068,NULL,1,Pesos
138,"2012-10-15 00:00:00",145424,NULL,0,NULL,1,Pesos
54,"2012-05-09 00:00:00",488952,"2012-06-07 00:00:00",488952,NULL,1,Pesos
99,"2012-07-09 00:00:00",1222380,"2012-10-22 00:00:00",1222380,NULL,1,Pesos
100,"2012-08-09 00:00:00",1222380,"2012-11-06 00:00:00",1222380,NULL,1,Pesos
101,"2012-08-09 00:00:00",1222380,"2012-12-12 00:00:00",1222380,NULL,1,Pesos
102,"2012-09-10 00:00:00",733428,"2012-12-12 00:00:00",733428,NULL,1,Pesos
185,"2012-01-02 00:00:00",328043.38,"2012-01-19 00:00:00",328043.38,NULL,1,Pesos
186,"2012-03-05 00:00:00",328043.38,"2012-08-20 00:00:00",328043.38,NULL,1,Pesos
187,"2012-08-30 00:00:00",656086.75,"2012-09-07 00:00:00",656086.75,NULL,1,Pesos
476,"2012-09-28 00:00:00",328043,"2012-10-11 00:00:00",328043.38,NULL,1,Pesos
188,"2012-09-10 00:00:00",117120,"2012-10-11 00:00:00",117120,NULL,1,Pesos
189,"2012-09-10 00:00:00",117120,"2012-10-18 00:00:00",117120,NULL,1,Pesos
190,"2012-10-10 00:00:00",117120,"2012-11-12 00:00:00",117120,NULL,1,Pesos
202,"2012-10-10 00:00:00",117120,"2012-12-14 00:00:00",117120,NULL,1,Pesos
203,"2012-11-09 00:00:00",117120,"2012-12-28 00:00:00",117120,NULL,1,Pesos
204,"2012-12-10 00:00:00",117120,"2013-03-04 00:00:00",117120,NULL,1,Pesos
154,"2011-11-18 00:00:00",310134,"2011-12-20 00:00:00",310134,NULL,1,Pesos
206,"2011-12-23 00:00:00",310134,"2011-12-20 00:00:00",310134,NULL,1,Pesos
207,"2012-04-13 00:00:00",620268,"2012-09-11 00:00:00",620268,NULL,1,Pesos
208,"2012-06-13 00:00:00",310134,"2013-01-24 00:00:00",310134,NULL,1,Pesos
191,"2012-07-12 00:00:00",117120,"2012-06-25 00:00:00",166164,NULL,1,Pesos
209,"2012-08-13 00:00:00",117120,"2012-08-06 00:00:00",51240,NULL,1,Pesos
210,"2012-09-12 00:00:00",117120,"2013-01-25 00:00:00",24156,NULL,1,Pesos
211,"2012-10-12 00:00:00",117120,"2013-01-25 00:00:00",336720,NULL,1,Pesos
212,"2012-11-12 00:00:00",117120,"2013-01-31 00:00:00",51240,NULL,1,Pesos
213,"2012-12-12 00:00:00",117120,"2012-12-31 00:00:00",117120,NULL,1,Pesos
39,"2012-03-06 00:00:00",5000,"2012-03-15 00:00:00",2500,NULL,1,Pesos
13,"2012-02-10 00:00:00",6100,"2012-02-10 00:00:00",6100,NULL,1,Pesos
14,"2012-03-16 00:00:00",12200,"2012-04-30 00:00:00",12200,NULL,1,Pesos
15,"2012-08-01 00:00:00",18300,"2012-08-28 00:00:00",18300,NULL,1,Pesos
16,"2012-08-01 00:00:00",18300,"2012-10-18 00:00:00",18300,NULL,1,Pesos
17,"2012-09-26 00:00:00",6100,"2012-12-18 00:00:00",6100,NULL,1,Pesos
10,"2011-12-28 00:00:00",100000,"2011-12-28 00:00:00",100000,NULL,1,Pesos
55,"2012-07-06 00:00:00",150000,"2012-08-17 00:00:00",150000,NULL,1,Pesos
56,"2012-09-06 00:00:00",600000,"2012-12-04 00:00:00",600000,NULL,1,Pesos
57,"2012-11-05 00:00:00",600000,"2012-12-19 00:00:00",600000,NULL,1,Pesos
58,"2012-12-04 00:00:00",150000,"2012-12-20 00:00:00",150000,NULL,1,Pesos
405,"2013-05-31 00:00:00",44700,"2013-03-26 00:00:00",44676.4,NULL,1,Pesos
406,"2013-07-31 00:00:00",0,NULL,0,NULL,1,Pesos
407,"2013-10-31 00:00:00",0,NULL,0,NULL,1,Pesos
408,"2013-10-31 00:00:00",0,NULL,0,NULL,1,Pesos
409,"2013-11-29 00:00:00",0,NULL,0,NULL,1,Pesos
410,"2013-04-30 00:00:00",84882,"2013-07-08 00:00:00",84882,NULL,1,Pesos
411,"2013-08-30 00:00:00",97588,"2013-10-28 00:00:00",97588,NULL,1,Pesos
412,"2013-11-11 00:00:00",97588,"2013-11-22 00:00:00",97588,NULL,1,Pesos
413,"2013-01-31 00:00:00",375760,"2013-01-31 00:00:00",375760,NULL,1,Pesos
414,"2013-02-28 00:00:00",225456,"2013-02-28 00:00:00",225456,NULL,1,Pesos
415,"2013-03-29 00:00:00",148840,"2013-03-29 00:00:00",148840,NULL,1,Pesos
416,"2013-04-30 00:00:00",148840,"2013-04-30 00:00:00",148840,NULL,1,Pesos
